 Node   position   x[mm]   xp[mrad]   y[mm]   yp[mrad]
        HEBT2:HEBT_Mag:DCH24:3:drift  125.87630    -6.1705  1.3520  4.8628  1.6284
        HEBT2:HEBT_Mag:DCH24:4:drift  126.27309    -5.6340  1.3520  5.5090  1.6284
     HEBT2:HEBT_Inj:LStrp_IP:1:drift  126.68313    -5.0797  1.3520  6.1767  1.6284
     HEBT2:HEBT_Inj:LStrp_IP:2:drift  127.09317    -4.5253  1.3520  6.8443  1.6284
     HEBT2:HEBT_Inj:LStrp_IP:3:drift  127.50321    -3.9710  1.3520  7.5120  1.6284
     HEBT2:HEBT_Inj:LStrp_IP:4:drift  127.91325    -3.4166  1.3520  8.1797  1.6284
            HEBT_Mag:QV25_fringe_out  128.41825    -2.9697  0.4397  8.3922  -0.7973
         HEBT2:HEBT_Mag:QV25:1:drift  128.54891    -2.9122  0.4397  8.2880  -0.7973
       HEBT2:HEBT_Diag:BPM25:1:drift  128.98584    -2.7201  0.4397  7.9396  -0.7973
       HEBT2:HEBT_Diag:BPM25:2:drift  129.42276    -2.5280  0.4397  7.5913  -0.7973
            HEBT_Mag:DH25_fringe_out  133.55276    -0.7155  0.4428  4.2193  -0.8145
         HEBT2:HEBT_Mag:DH25:1:drift  133.80502    -0.6046  0.4408  4.0109  -0.8264
         HEBT2:HEBT_Mag:DH25:2:drift  134.05728    -0.4934  0.4408  3.8024  -0.8264
            HEBT_Mag:QH26_fringe_out  134.56228    -0.2405  0.5486  3.6568  0.2427
         HEBT2:HEBT_Mag:QH26:1:drift  134.69293    -0.1688  0.5486  3.6885  0.2427
       HEBT2:HEBT_Diag:BPM26:1:drift  135.17355    0.0949  0.5486  3.8052  0.2427
       HEBT2:HEBT_Diag:BPM26:2:drift  135.65417    0.3585  0.5486  3.9218  0.2427
       HEBT2:HEBT_Diag:BPM26:3:drift  136.13480    0.6222  0.5486  4.0385  0.2427
       HEBT2:HEBT_Diag:BPM26:4:drift  136.61542    0.8859  0.5486  4.1551  0.2427
       HEBT2:HEBT_Diag:BPM26:5:drift  137.09604    1.1495  0.5486  4.2718  0.2427
       HEBT2:HEBT_Diag:BPM26:6:drift  137.57666    1.4132  0.5486  4.3885  0.2427
       HEBT2:HEBT_Diag:BPM26:7:drift  138.05728    1.6769  0.5486  4.5051  0.2427
            HEBT_Mag:QV27_fringe_out  138.56228    2.0846  1.0859  4.2998  -1.0460
         HEBT2:HEBT_Mag:QV27:1:drift  138.69293    2.2265  1.0859  4.1631  -1.0460
       HEBT2:HEBT_Diag:BPM27:1:drift  139.17355    2.7484  1.0859  3.6604  -1.0460
       HEBT2:HEBT_Diag:BPM27:2:drift  139.65417    3.2704  1.0859  3.1576  -1.0460
       HEBT2:HEBT_Diag:BPM27:3:drift  140.13480    3.7923  1.0859  2.6549  -1.0460
       HEBT2:HEBT_Diag:BPM27:4:drift  140.61542    4.3142  1.0859  2.1521  -1.0460
       HEBT2:HEBT_Diag:BPM27:5:drift  141.09604    4.8361  1.0859  1.6494  -1.0460
       HEBT2:HEBT_Diag:BPM27:6:drift  141.57666    5.3581  1.0859  1.1466  -1.0460
       HEBT2:HEBT_Diag:BPM27:7:drift  142.05728    5.8800  1.0859  0.6439  -1.0460
            HEBT_Mag:QH28_fringe_out  142.56228    5.9895  -0.6574  0.1504  -0.9322
         HEBT2:HEBT_Mag:QH28:1:drift  142.69293    5.9036  -0.6574  0.0286  -0.9322
       HEBT2:HEBT_Diag:BPM28:1:drift  142.82992    5.8136  -0.6574  -0.0991  -0.9322
        HEBT2:HEBT_Mag:DCH28:1:drift  143.29098    5.5105  -0.6574  -0.5289  -0.9322
        HEBT2:HEBT_Mag:DCH28:2:drift  143.75203    5.2074  -0.6574  -0.9587  -0.9322
        HEBT2:HEBT_Mag:DCH28:3:drift  144.21308    4.9043  -0.6574  -1.3885  -0.9322
        HEBT2:HEBT_Mag:DCH28:4:drift  144.67413    4.6012  -0.6574  -1.8183  -0.9322
        HEBT2:HEBT_Mag:DCH28:5:drift  145.13518    4.2981  -0.6574  -2.2481  -0.9322
        HEBT2:HEBT_Mag:DCH28:6:drift  145.59623    3.9950  -0.6574  -2.6779  -0.9322
        HEBT2:HEBT_Mag:DCH28:7:drift  146.05728    3.6919  -0.6574  -3.1077  -0.9322
            HEBT_Mag:QV29_fringe_out  146.56228    3.6246  0.3877  -3.3429  0.0120
         HEBT2:HEBT_Mag:QV29:1:drift  146.69293    3.6753  0.3877  -3.3414  0.0120
       HEBT2:HEBT_Diag:BPM29:1:drift  146.82992    3.7284  0.3877  -3.3397  0.0120
        HEBT2:HEBT_Mag:DCV29:1:drift  147.28448    3.9046  0.3877  -3.3343  0.0120
        HEBT2:HEBT_Mag:DCV29:2:drift  147.73904    4.0809  0.3877  -3.3289  0.0120
        HEBT2:HEBT_Mag:DCV29:3:drift  148.19360    4.2571  0.3877  -3.3234  0.0120
        HEBT2:HEBT_Mag:DCV29:4:drift  148.64816    4.4334  0.3877  -3.3180  0.0120
        HEBT2:HEBT_Mag:DCV29:5:drift  149.10272    4.6096  0.3877  -3.3125  0.0120
        HEBT2:HEBT_Mag:DCV29:6:drift  149.55728    4.7859  0.3877  -3.3071  0.0120
            HEBT_Mag:QH30_fringe_out  150.06228    4.5432  -1.3341  -3.6090  -1.2261
         HEBT2:HEBT_Mag:QH30:1:drift  150.19293    4.3689  -1.3341  -3.7692  -1.2261
       HEBT2:HEBT_Diag:BPM30:1:drift  150.32992    4.1861  -1.3341  -3.9372  -1.2261
